Epoch 00000 | Time(s) nan | Loss 1.6574 | ETputs(KTEPS) nan
Epoch 00050 | Time(s) 8.3166 | Loss 1.3870 | ETputs(KTEPS) 77.98
Epoch 00100 | Time(s) 8.2622 | Loss 1.1384 | ETputs(KTEPS) 78.49
Epoch 00150 | Time(s) 8.2744 | Loss 0.4950 | ETputs(KTEPS) 78.38
Epoch 00200 | Time(s) 8.2588 | Loss 0.2295 | ETputs(KTEPS) 78.53
Epoch 00250 | Time(s) 8.2407 | Loss 0.2046 | ETputs(KTEPS) 78.70
Epoch 00300 | Time(s) 8.2169 | Loss 0.1960 | ETputs(KTEPS) 78.93
Epoch 00350 | Time(s) 8.1886 | Loss 0.2395 | ETputs(KTEPS) 79.20
Epoch 00400 | Time(s) 8.1670 | Loss 0.1834 | ETputs(KTEPS) 79.41
Epoch 00450 | Time(s) 8.1555 | Loss 0.2273 | ETputs(KTEPS) 79.52
Epoch 00500 | Time(s) 8.1391 | Loss 0.6616 | ETputs(KTEPS) 79.68
Epoch 00550 | Time(s) 8.1262 | Loss 0.2421 | ETputs(KTEPS) 79.81
Epoch 00600 | Time(s) 8.1154 | Loss 0.2136 | ETputs(KTEPS) 79.91
Epoch 00650 | Time(s) 8.1058 | Loss 0.2053 | ETputs(KTEPS) 80.01
Epoch 00700 | Time(s) 8.0954 | Loss 0.2000 | ETputs(KTEPS) 80.11
Epoch 00750 | Time(s) 8.0855 | Loss 0.1932 | ETputs(KTEPS) 80.21
Epoch 00800 | Time(s) 8.0751 | Loss 0.1878 | ETputs(KTEPS) 80.31
Epoch 00850 | Time(s) 8.0698 | Loss 0.1808 | ETputs(KTEPS) 80.36
Epoch 00900 | Time(s) 8.0621 | Loss 0.1773 | ETputs(KTEPS) 80.44
Epoch 00950 | Time(s) 8.0584 | Loss 0.1743 | ETputs(KTEPS) 80.48
Epoch 01000 | Time(s) 8.0548 | Loss 0.1700 | ETputs(KTEPS) 80.51
Epoch 01050 | Time(s) 8.0517 | Loss 0.1654 | ETputs(KTEPS) 80.55
Epoch 01100 | Time(s) 8.0482 | Loss 0.1598 | ETputs(KTEPS) 80.58
Epoch 01150 | Time(s) 8.0442 | Loss 0.1757 | ETputs(KTEPS) 80.62
Epoch 01200 | Time(s) 8.0439 | Loss 0.4007 | ETputs(KTEPS) 80.62
Epoch 01250 | Time(s) 8.0403 | Loss 0.2075 | ETputs(KTEPS) 80.66
Epoch 01300 | Time(s) 8.0372 | Loss 0.1959 | ETputs(KTEPS) 80.69
Epoch 01350 | Time(s) 8.0346 | Loss 0.1914 | ETputs(KTEPS) 80.72
Epoch 01400 | Time(s) 8.0335 | Loss 0.1854 | ETputs(KTEPS) 80.73
Epoch 01450 | Time(s) 8.0289 | Loss 0.1780 | ETputs(KTEPS) 80.77
Epoch 01500 | Time(s) 8.0246 | Loss 0.1745 | ETputs(KTEPS) 80.82
Epoch 01550 | Time(s) 8.0206 | Loss 0.1673 | ETputs(KTEPS) 80.86
Epoch 01600 | Time(s) 8.0153 | Loss 0.1621 | ETputs(KTEPS) 80.91
Epoch 01650 | Time(s) 8.0136 | Loss 0.1536 | ETputs(KTEPS) 80.93
Epoch 01700 | Time(s) 8.0096 | Loss 0.1473 | ETputs(KTEPS) 80.97
Epoch 01750 | Time(s) 8.0075 | Loss 0.1375 | ETputs(KTEPS) 80.99
Epoch 01800 | Time(s) 8.0048 | Loss 0.1311 | ETputs(KTEPS) 81.02
Epoch 01850 | Time(s) 8.0023 | Loss 0.1298 | ETputs(KTEPS) 81.04
Epoch 01900 | Time(s) 8.0008 | Loss 0.1204 | ETputs(KTEPS) 81.06
Epoch 01950 | Time(s) 7.9997 | Loss 1.0766 | ETputs(KTEPS) 81.07
Epoch 02000 | Time(s) 7.9970 | Loss 0.7504 | ETputs(KTEPS) 81.10
Epoch 02050 | Time(s) 7.9943 | Loss 0.2343 | ETputs(KTEPS) 81.12
Epoch 02100 | Time(s) 7.9917 | Loss 0.1876 | ETputs(KTEPS) 81.15
Epoch 02150 | Time(s) 7.9893 | Loss 0.1796 | ETputs(KTEPS) 81.17
Epoch 02200 | Time(s) 7.9873 | Loss 0.1674 | ETputs(KTEPS) 81.19
Epoch 02250 | Time(s) 7.9841 | Loss 0.1598 | ETputs(KTEPS) 81.23
Epoch 02300 | Time(s) 7.9832 | Loss 0.1638 | ETputs(KTEPS) 81.24
Epoch 02350 | Time(s) 7.9804 | Loss 0.1511 | ETputs(KTEPS) 81.26
Epoch 02400 | Time(s) 7.9777 | Loss 0.1528 | ETputs(KTEPS) 81.29
Epoch 02450 | Time(s) 7.9750 | Loss 0.1438 | ETputs(KTEPS) 81.32
Epoch 02500 | Time(s) 7.9733 | Loss 0.1387 | ETputs(KTEPS) 81.34
Epoch 02550 | Time(s) 7.9712 | Loss 0.1328 | ETputs(KTEPS) 81.36
Epoch 02600 | Time(s) 7.9696 | Loss 0.1283 | ETputs(KTEPS) 81.38
Epoch 02650 | Time(s) 7.9693 | Loss 1.8999 | ETputs(KTEPS) 81.38
Epoch 02700 | Time(s) 7.9666 | Loss 1.3313 | ETputs(KTEPS) 81.41
Epoch 02750 | Time(s) 7.9643 | Loss 1.3267 | ETputs(KTEPS) 81.43
Epoch 02800 | Time(s) 7.9610 | Loss 1.3249 | ETputs(KTEPS) 81.46
Epoch 02850 | Time(s) 7.9584 | Loss 1.3242 | ETputs(KTEPS) 81.49
Epoch 02900 | Time(s) 7.9566 | Loss 1.3233 | ETputs(KTEPS) 81.51
Epoch 02950 | Time(s) 7.9544 | Loss 1.3230 | ETputs(KTEPS) 81.53
Epoch 03000 | Time(s) 7.9515 | Loss 1.3220 | ETputs(KTEPS) 81.56
Epoch 03050 | Time(s) 7.9497 | Loss 0.9727 | ETputs(KTEPS) 81.58
Epoch 03100 | Time(s) 7.9482 | Loss 0.5155 | ETputs(KTEPS) 81.59
Epoch 03150 | Time(s) 7.9463 | Loss 0.4378 | ETputs(KTEPS) 81.61
Epoch 03200 | Time(s) 7.9444 | Loss 0.4048 | ETputs(KTEPS) 81.63
Epoch 03250 | Time(s) 7.9430 | Loss 0.3577 | ETputs(KTEPS) 81.65
Epoch 03300 | Time(s) 7.9418 | Loss 0.3332 | ETputs(KTEPS) 81.66
Epoch 03350 | Time(s) 7.9410 | Loss 0.3141 | ETputs(KTEPS) 81.67
Epoch 03400 | Time(s) 7.9397 | Loss 0.3087 | ETputs(KTEPS) 81.68
Epoch 03450 | Time(s) 7.9376 | Loss 0.2813 | ETputs(KTEPS) 81.70
Epoch 03500 | Time(s) 7.9370 | Loss 0.2451 | ETputs(KTEPS) 81.71
Epoch 03550 | Time(s) 7.9362 | Loss 0.2349 | ETputs(KTEPS) 81.72
Epoch 03600 | Time(s) 7.9349 | Loss 0.2296 | ETputs(KTEPS) 81.73
Epoch 03650 | Time(s) 7.9337 | Loss 0.2269 | ETputs(KTEPS) 81.74
Epoch 03700 | Time(s) 7.9330 | Loss 0.2256 | ETputs(KTEPS) 81.75
Epoch 03750 | Time(s) 7.9325 | Loss 0.2229 | ETputs(KTEPS) 81.76
Epoch 03800 | Time(s) 7.9316 | Loss 0.2163 | ETputs(KTEPS) 81.76
Epoch 03850 | Time(s) 7.9311 | Loss 0.2153 | ETputs(KTEPS) 81.77
Epoch 03900 | Time(s) 7.9301 | Loss 0.2124 | ETputs(KTEPS) 81.78
Epoch 03950 | Time(s) 7.9296 | Loss 0.2076 | ETputs(KTEPS) 81.79
